question_id,question_text,option_a,option_b,option_c,option_d,correct_answer,skill_tag,explanation,translation,vocabulary
R021,"TSD loan service strategy is ------- focused on small companies and personal accounts because it is a small-scale bank.","primarily","numerically","originally","initially","A","單字-副詞","focus on 有「主要針對...」的意思，搭配副詞 primarily (主要地) 最合適，因此選擇 (A)。(C) originally 和 (D) initially 主要使用在前後出現相反內容時。(B) 數字上。","TSD 是小規模的銀行，貸款業務策略主要針對小企業或個人戶。","loan 借貸; be focused on 主要針對...; personal account 個人帳戶; small-scale 小規模的"
R022,"Beckhart Jewelers is currently ------- experienced, motivated and team-oriented managers for many new branch offices across the southern part of the province.","looking","seeking","inquiring","entering","B","單字-動詞","空格前有 be 動詞，後面有形容詞和名詞 (managers)，因此空格應該接與 be 動詞搭配的現在進行式動詞，且能直接加受詞。正確解答為 (B) seeking。(A) look 必須和介系詞 for 搭配才能當「尋找」的意思，不能單獨使用接受詞。(C) inquire 為有「詢問」的意思。","貝克哈特珠寶公司目前針對該省份南部新成立的許多分公司，尋找經驗豐富、積極且具團隊精神的管理者。","experienced 有經驗的、熟練的; motivated 積極的; team-oriented 具團隊精神的; branch office 分公司; province 省、地方"
R023,"The economic forum in Seoul will be the most extensive meeting of finance ministers ever ------- in Asia.","referred","stayed","went","held","D","文法-分詞構句","亞洲「舉辦」的規模最大的會議，原句為 meeting which is held in Asia，省略 which is 後留下過去分詞 held，正確答案為 (D)。(A) 是「提及、參考」。","在首爾舉辦的經濟論壇是亞洲舉辦的財政部長會議中規模最大的。","economic 經濟的; extensive 大規模的; finance minister 財政部長; hold 舉辦"
R024,"One of the challenges a corporation faces is successful ------- of its products' identity to clients when operating in a foreign market.","communicatively","communicate","communication","communicated","C","文法-詞性變化","形容詞 (successful) 和介系詞 (of) 之間可以置入的詞類為名詞。選項中只有 (C) communication 是名詞。「傳達」是動詞的名詞補語。","朝海外市場發展時，企業直接面臨的挑戰之一，是產品的特性是否可以成功傳達給消費者。","challenge 挑戰; corporation 企業、公司; face 面臨; identity 特性"
R025,"The newly developed farm equipment has improved the ------- of farmers as well as the quality of their harvest.","productivity","measures","instruction","economics","A","單字-名詞","新開發的農業設備可提升的除了農作物品質以外，最適合的就是 (A) 生產效益了。(B) 方法、計量準則；(C) 準則、指示；(D) 經濟狀況。","新開發的農業設備可同時提升農夫的生產效益和農作物的品質。","equipment 設備; productivity 生產力、效益; harvest 農收、農作物"
R026,"------- an executive in the International Operations Department at Saint & Co, Arshad Chowdhury last week became a member of the government's International Trade Advisory Committee.","Often","Once","Now","Soon","B","單字-副詞","這是選擇正確副詞的問題。「曾是」經理的人上週成了諮詢委員會委員，(B) Once (曾經) 是正確解答。once 不只是副詞，也可當作連接詞。","曾任聖徒公司國際經營團隊經理的艾爾沙德喬杜里，上週搖身一變，成為政府的國際貿易諮詢委員會委員。","executive 經理; advisory committee 諮詢委員會、顧問團隊"
R027,"Because PNB Bank is ------- to announce a decrease in interest rates, investors are anxious for the press conference.","expect","expects","expected","expecting","C","文法-動詞被動語態","空格前有 is，因此不可選 (A)、(B)。expect 的用法為「expect + 受詞 + to 不定詞」，被動式為「be expected to + 原形動詞」，因此 (C) 為正解。","PNB 銀行預期會發表調降利率的消息，投資人都迫切希望記者會能盡快開始。","decrease 減少、下滑; interest rate 利率; investor 投資人; anxious 渴望做某事; press conference 記者會"
R028,"In an attempt to rejuvenate the company's image, the head of Public Relations was asked to help create an ad campaign ------- the new corporate logo.","featuring","convening","deserving","accommodating","A","單字-動詞(分詞)","為了重振企業形象製作廣告，修飾廣告內容的 (A) featuring 自然為正確解答。feature 可中譯為「以...為特色/主打」，是多益中常出題的字彙。(B) 召開（會議）；(C) 應得的；(D) 適應。","為了重振企業形象，公司要求公關經理製作一支新的廣告，並主打新的企業標誌。","in an attempt to 為了...; rejuvenate 找回活力; corporate logo 企業標誌; feature 以...為特色"
R029,"The store will ship them to you at half the ------- rate if you purchase over 100 dollars' worth of goods.","duplicate","numerous","divided","standard","D","單字-形容詞","若購買 100 美元以上的商品，能以「原本」費用的一半價格進行配送，合適的選項為 (D) standard (一般的、標準的)。(A) 一樣的、複製的；(B) 許多的；(C) 分開的。","若購買 100 美元以上的商品，賣場的配送費用將可以折半（以標準費率的一半計算）。","ship 運送; standard rate 標準費率; goods 商品"
R030,"The Justice Bureau office is required to ------- to all formal requests for official documents within 14 days.","promise","respond","explain","advise","B","單字-動詞","針對怎樣的要求「回覆」，與介系詞 to 一起使用的動詞，(B) respond 為正確解答。(C) explain 的句型為「explain + 受詞 + to + 對象」；(D) advise 的句型為「advise + 受詞 + to + 動詞原形」。","法務部辦公室被要求在 14 天內，對正式書面資料的所有正式要求提供回覆。","Justice Bureau 法務部; respond to 對...回覆; formal 正式的; official document 官方資料"
